,count,mean,std,min,25%,50%,75%,max
calories,231637.0,473.9424245694772,1189.711374266372,0.0,174.4,313.4,519.7,434360.2
total_fat_PDV,231637.0,36.080699542819154,77.79883975870425,0.0,8.0,20.0,41.0,17183.0
sugar_PDV,231637.0,84.29686535398058,800.0808969006234,0.0,9.0,25.0,68.0,362729.0
sodium_PDV,231637.0,30.147485073628133,131.9615887136636,0.0,5.0,14.0,33.0,29338.0
protein_PDV,231637.0,34.68185997919158,58.472480396330724,0.0,7.0,18.0,51.0,6552.0
saturated_fat_PDV,231637.0,45.589150265285774,98.23575799211967,0.0,7.0,23.0,52.0,10395.0
carbohydrates_PDV,231637.0,15.56040269905067,81.82455969953085,0.0,4.0,9.0,16.0,36098.0
